Date,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Description,State FIPS Code,County FIPS Code,Site Latitude,Site Longitude
3/4/2018,0.052,ppm,48,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/5/2018,0.051,ppm,47,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/6/2018,0.048,ppm,44,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/7/2018,0.043,ppm,40,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/8/2018,0.052,ppm,48,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/9/2018,0.057,ppm,58,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/10/2018,0.056,ppm,54,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/11/2018,0.036,ppm,33,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/12/2018,0.04,ppm,37,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/13/2018,0.057,ppm,58,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/14/2018,0.064,ppm,80,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/15/2018,0.065,ppm,84,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/16/2018,0.057,ppm,58,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/17/2018,0.048,ppm,44,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/18/2018,0.042,ppm,39,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/19/2018,0.032,ppm,30,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/20/2018,0.033,ppm,31,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/21/2018,0.051,ppm,47,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/22/2018,0.058,ppm,61,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/23/2018,0.07,ppm,100,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/24/2018,0.057,ppm,58,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/25/2018,0.056,ppm,54,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/26/2018,0.055,ppm,51,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/27/2018,0.055,ppm,51,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/28/2018,0.052,ppm,48,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/29/2018,0.05,ppm,46,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/30/2018,0.045,ppm,42,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
3/31/2018,0.04,ppm,37,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/1/2018,0.035,ppm,32,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/2/2018,0.034,ppm,31,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/3/2018,0.032,ppm,30,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/4/2018,0.029,ppm,27,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/5/2018,0.045,ppm,42,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/6/2018,0.044,ppm,41,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/7/2018,0.03,ppm,28,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/8/2018,0.035,ppm,32,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/9/2018,0.026,ppm,24,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/10/2018,0.037,ppm,34,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/12/2018,0.053,ppm,49,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/13/2018,0.05,ppm,46,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/14/2018,0.033,ppm,31,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/15/2018,0.037,ppm,34,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/16/2018,0.054,ppm,50,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/17/2018,0.064,ppm,80,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/18/2018,0.055,ppm,51,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/19/2018,0.051,ppm,47,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/20/2018,0.078,ppm,126,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/21/2018,0.042,ppm,39,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/22/2018,0.023,ppm,21,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/23/2018,0.024,ppm,22,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/24/2018,0.038,ppm,35,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/25/2018,0.067,ppm,90,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/26/2018,0.057,ppm,58,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/27/2018,0.039,ppm,36,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/28/2018,0.063,ppm,77,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/29/2018,0.064,ppm,80,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
4/30/2018,0.061,ppm,71,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/1/2018,0.049,ppm,45,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/2/2018,0.045,ppm,42,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/3/2018,0.04,ppm,37,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/4/2018,0.045,ppm,42,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/5/2018,0.035,ppm,32,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/6/2018,0.041,ppm,38,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/7/2018,0.05,ppm,46,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/8/2018,0.053,ppm,49,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/9/2018,0.05,ppm,46,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/10/2018,0.046,ppm,43,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/11/2018,0.044,ppm,41,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/12/2018,0.045,ppm,42,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/13/2018,0.03,ppm,28,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/14/2018,0.035,ppm,32,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/15/2018,0.033,ppm,31,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/16/2018,0.03,ppm,28,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/17/2018,0.03,ppm,28,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/18/2018,0.034,ppm,31,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/19/2018,0.036,ppm,33,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/20/2018,0.033,ppm,31,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/21/2018,0.032,ppm,30,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/22/2018,0.035,ppm,32,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/24/2018,0.029,ppm,27,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/25/2018,0.027,ppm,25,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/26/2018,0.031,ppm,29,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/27/2018,0.039,ppm,36,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/28/2018,0.04,ppm,37,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
5/29/2018,0.03,ppm,28,Rosenstiel,17,100,Ozone,12,86,25.73287798,-80.16175011
